ratio,decision,adjudicated_by,note,record_id_a,title_a,year_a,venue_a,doi_a,source_db_a,record_id_b,title_b,year_b,venue_b,doi_b,source_db_b,proposed_decision,proposed_confidence,proposed_doi_checked,proposed_evidence,proposed_case_for_same,proposed_case_for_different
0.9349,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.3389/fenrg.2026.1770773 has update-to=('correction','10.3389/fenrg.2022.858518')",RC-1261,Grey Wolf Optimization–Based Deep Echo State Network for Time Series Prediction,2022,Frontiers in Energy Research,10.3389/fenrg.2022.858518,openalex,RC-3155,Correction: Grey wolf optimization–based deep echo state network for time series prediction,2026,Frontiers in Energy Research,10.3389/fenrg.2026.1770773,openalex,different,high,1,"Crossref 10.3389/fenrg.2026.1770773 has update-to=('correction','10.3389/fenrg.2022.858518')","Same authors, journal and study.",Crossref formally types record b as the correction to record a.
0.9333,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",OpenAlex abstracts for 10.1109/icrc2020.2020.00012 and arXiv:2005.00522 word-for-word identical apart from one added device; both sole-authored by Ganesh,RC-4582,Rebooting Neuromorphic Design - A Complexity Engineering Approach,2020,,10.1109/icrc2020.2020.00012,openalex,RC-5693,Rebooting Neuromorphic Hardware Design -- A Complexity Engineering Approach,2020,arXiv (Cornell University),10.48550/arxiv.2005.00522,arxiv|openalex,same,high,1,OpenAlex abstracts for 10.1109/icrc2020.2020.00012 and arXiv:2005.00522 word-for-word identical apart from one added device; both sole-authored by Ganesh,"Single shared author, same year, verbatim abstract.",Published title drops 'Hardware'; no journal-ref.
0.9333,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","OSTI 10.2172/2386906 abstract word-for-word identical to Nano Express 10.1088/2632-959x/ad2999, same four authors, both March 2024",RC-2316,"Ergodicity, lack thereof, and the performance of reservoir computing with memristive networks and nanowire",2024,,10.2172/2386906,openalex,RC-6263,"Ergodicity, lack thereof, and the performance of reservoir computing with memristive networks",2024,Nano Express,10.1088/2632-959x/ad2999,arxiv|openalex,same,high,1,"OSTI 10.2172/2386906 abstract word-for-word identical to Nano Express 10.1088/2632-959x/ad2999, same four authors, both March 2024",Verbatim identical abstract and author list; DOE deposit of the same manuscript.,OSTI classifies it as a Technical Report with a broader title.
0.9322,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1364/oe.441236 is an Optics Express article by four authors (2021); 10.1007/978-981-99-5072-0_11 is a Springer book chapter, sole author Shimomura (2023)",RC-1485,Tunable reservoir computing based on iterative function systems,2021,Optics Express,10.1364/oe.441236,openalex,RC-3195,Reservoir Computing Based on Iterative Function Systems,2023,,10.1007/978-981-99-5072-0_11,openalex,different,high,1,"10.1364/oe.441236 is an Optics Express article by four authors (2021); 10.1007/978-981-99-5072-0_11 is a Springer book chapter, sole author Shimomura (2023)",The chapter covers the same IFS-based research by an overlapping author.,"Journal article vs single-author book chapter, different author list and year."
0.9302,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","DataCite 10.17632/kcpnnrn67p.1 is a Mendeley Data deposit, resourceTypeGeneral 'Dataset', titled 'Data for: ...'",RC-0491,Echo-state networks for soft sensor design in an SRU process,2021,Information Sciences,10.1016/j.ins.2021.03.013,openalex,RC-2964,Data for: Echo-state networks for Soft Sensor design in an SRU process,2021,Data Archiving and Networked Services (DANS),10.17632/kcpnnrn67p.1,openalex,different,high,1,"DataCite 10.17632/kcpnnrn67p.1 is a Mendeley Data deposit, resourceTypeGeneral 'Dataset', titled 'Data for: ...'",Dataset title embeds the article title.,"Mendeley dataset deposit with a single creator, not the article."
0.929,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1371/journal.pone.0315300 is 'Correction: ...' (Dec 2024), separate from 2023 article 10.1371/journal.pone.0282122",RC-1344,Computational capabilities of a multicellular reservoir computing system,2023,PLoS ONE,10.1371/journal.pone.0282122,openalex,RC-3315,Correction: Computational capabilities of a multicellular reservoir computing system,2024,PLoS ONE,10.1371/journal.pone.0315300,openalex,different,high,1,"10.1371/journal.pone.0315300 is 'Correction: ...' (Dec 2024), separate from 2023 article 10.1371/journal.pone.0282122",Same authors and journal.,A PLOS correction notice is its own citable publication.
0.928,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","OpenAlex W3111911898 resolves to arXiv 2012.07881, which carries journal_ref IEEE TNNLS and DOI 10.1109/TNNLS.2023.3237381 = record b, same five authors",RC-0080,Perceptron Theory for Predicting the Accuracy of Neural Networks.,2020,arXiv (Cornell University),,openalex,RC-6359,Perceptron Theory Can Predict the Accuracy of Neural Networks,2023,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2023.3237381,arxiv|openalex,same,high,1,"OpenAlex W3111911898 resolves to arXiv 2012.07881, which carries journal_ref IEEE TNNLS and DOI 10.1109/TNNLS.2023.3237381 = record b, same five authors",Record a is the v1 arXiv posting that arXiv itself links to record b's DOI.,Titles differ in wording; years three apart.
0.9273,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","HAL hal-03253727 gives conference 'SPIE Organic Photonics & Electronics', San Diego, 2020-08-23, sole author Vuillaume - matching Crossref 10.1117/12.2567214 exactly",RC-0280,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing (Invited),2020,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-3748,Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2020,,10.1117/12.2567214,openalex,same,high,1,"HAL hal-03253727 gives conference 'SPIE Organic Photonics & Electronics', San Diego, 2020-08-23, sole author Vuillaume - matching Crossref 10.1117/12.2567214 exactly","Conference name, city, date, author and title all match; self-archived record of the same SPIE contribution.",HAL types it as a talk with no DOI asserted.
0.9268,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1002/advs.202411777 is the research article; 10.1002/advs.202570015 has the '(Adv. Sci. 3/2025)' suffix - the Wiley cover item, same six authors",RC-1276,Iono–Magnonic Reservoir Computing With Chaotic Spin Wave Interference Manipulated by Ion‐Gating,2024,Advanced Science,10.1002/advs.202411777,openalex,RC-4017,Iono–Magnonic Reservoir Computing With Chaotic Spin Wave Interference Manipulated by Ion‐Gating (Adv. Sci. 3/2025),2025,Advanced Science,10.1002/advs.202570015,openalex,different,high,1,"10.1002/advs.202411777 is the research article; 10.1002/advs.202570015 has the '(Adv. Sci. 3/2025)' suffix - the Wiley cover item, same six authors","Same authors, journal, volume and issue.",Cover-picture records are distinct front-matter items. HOUSE POLICY NEEDED.
0.9259,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1109/ijcnn55064.2022.9892805 and TechRxiv 10.36227/techrxiv.17704682 share four authors; TechRxiv predates IJCNN by six months,RC-1430,Proposal of Reconstructive Reservoir Computing to Detect Anomaly in Time-series Signals,2022,2022 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn55064.2022.9892805,openalex,RC-1900,Reconstructive Reservoir Computing to Detect Anomaly in Time-series Signals,2022,,10.36227/techrxiv.17704682,openalex,same,high,1,Crossref 10.1109/ijcnn55064.2022.9892805 and TechRxiv 10.36227/techrxiv.17704682 share four authors; TechRxiv predates IJCNN by six months,Identical author list and year; titles differ only by the 'Proposal of' prefix.,No explicit Crossref preprint relation.
0.9259,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1088/2632-2153/ad5414 declares has-preprint -> 10.21203/rs.3.rs-3911885/v1, reciprocated; same two authors",RC-1463,On the prediction of the turbulent flow behind cylinder arrays via echo state networks,2024,Machine Learning Science and Technology,10.1088/2632-2153/ad5414,openalex,RC-3010,Prediction of turbulent flows behind cylinder arrays via Echo State Networks,2024,Research Square,10.21203/rs.3.rs-3911885/v1,openalex,same,high,1,"Crossref 10.1088/2632-2153/ad5414 declares has-preprint -> 10.21203/rs.3.rs-3911885/v1, reciprocated; same two authors",Crossref asserts the relation between exactly these DOIs.,Titles differ in singular/plural and a leading 'On the'.
0.9243,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.5194/gmd-2020-211-rc3 is a referee review; 10.5194/gmd-2020-211-ac1 is an author comment by Tomizawa,RC-4167,"Review of ""Combining Ensemble Kalman Filter and Reservoir Computing to predict spatio-temporal chaotic systems from imperfect observations and models"" by F. Tomizawa and Y. Sawada",2020,,10.5194/gmd-2020-211-rc3,openalex,RC-4203,"Interactive comment on ""Combining Ensemble Kalman Filter and Reservoir Computing to predict spatio-temporal chaotic systems from imperfect observations and models"" by Futo Tomizawa and Yohei Sawada",2020,,10.5194/gmd-2020-211-ac1,openalex,different,high,1,10.5194/gmd-2020-211-rc3 is a referee review; 10.5194/gmd-2020-211-ac1 is an author comment by Tomizawa,Both attach to the same GMD discussion paper.,A referee report and the authors' reply are distinct items.
0.9221,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Record a is a Zenodo deposit 'Dataset for: ...' (10.5281/zenodo.7792576); 10.1073/pnas.2217008120 is the PNAS article,RC-3454,Dataset for: Biological neurons act as generalization filters in reservoir computing,2023,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.7792576,openalex,RC-6169,Biological neurons act as generalization filters in reservoir computing,2023,Proceedings of the National Academy of Sciences,10.1073/pnas.2217008120,arxiv|openalex,different,high,1,Record a is a Zenodo deposit 'Dataset for: ...' (10.5281/zenodo.7792576); 10.1073/pnas.2217008120 is the PNAS article,The dataset accompanies exactly this paper.,A Zenodo data deposit is a distinct research output.
0.9215,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1007/s11063-024-11474-7 declares has-preprint -> 10.21203/rs.3.rs-3350392/v1; same three authors,RC-3157,Time Series Prediction of Echo State Network Based on Chebyshev Mapping and Strongly Connected Topology,2023,Research Square,10.21203/rs.3.rs-3350392/v1,openalex,RC-3892,Time Series Prediction of ESN Based on Chebyshev Mapping and Strongly Connected Topology,2024,Neural Processing Letters,10.1007/s11063-024-11474-7,openalex,same,high,1,Crossref 10.1007/s11063-024-11474-7 declares has-preprint -> 10.21203/rs.3.rs-3350392/v1; same three authors,Crossref asserts the link; only difference is 'Echo State Network' vs 'ESN'.,Different years and title surface forms.
0.9189,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1063/5.0138661 (Chaos 2023) by Kong, Weng, Glaz, Haile, Lai; 10.1007/s11071-025-12087-y (Nonlinear Dynamics 2026) by Sun, Zhou, Cao, Hou, Guan, Leng - disjoint author teams",RC-0511,Reservoir computing as digital twins for nonlinear dynamical systems,2023,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0138661,openalex,RC-3439,Reservoir computing as digital twins for controlling nonlinear dynamical systems,2026,Nonlinear Dynamics,10.1007/s11071-025-12087-y,openalex,different,high,1,"10.1063/5.0138661 (Chaos 2023) by Kong, Weng, Glaz, Haile, Lai; 10.1007/s11071-025-12087-y (Nonlinear Dynamics 2026) by Sun, Zhou, Cao, Hou, Guan, Leng - disjoint author teams",Titles differ by one word; both on RC digital twins.,"Zero author overlap, three years apart, and 'controlling' marks a different contribution."
0.9184,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Record a resolves to arXiv 2009.00112 'The Computational Capacity of LRC, Memristive and Hybrid Reservoirs' by Sheldon, Kolchinsky, Caravelli; 10.1145/3381755.3381779 is a NICE 2020 ACM paper by Sheldon and Caravelli only",RC-0299,The Computational Capacity of Memristor Reservoirs,2020,arXiv (Cornell University),,openalex,RC-4675,The Computational Capacity of Mem-LRC Reservoirs,2020,,10.1145/3381755.3381779,openalex,different,high,1,"Record a resolves to arXiv 2009.00112 'The Computational Capacity of LRC, Memristive and Hybrid Reservoirs' by Sheldon, Kolchinsky, Caravelli; 10.1145/3381755.3381779 is a NICE 2020 ACM paper by Sheldon and Caravelli only","Overlapping authors, same year, related subject.","Different author lists, different venues; 'Mem-LRC' is a distinct model."
0.918,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1155/2020/8643029 is the article; 10.1155/2021/3041205 is 'Corrigendum to ...', a separate 2021 notice",RC-0961,Controller Design Based on Echo State Network with Delay Output for Nonlinear System,2020,Complexity,10.1155/2020/8643029,openalex,RC-3083,Corrigendum to “Controller Design Based on Echo State Network with Delay Output for Nonlinear System”,2021,Complexity,10.1155/2021/3041205,openalex,different,high,1,"10.1155/2020/8643029 is the article; 10.1155/2021/3041205 is 'Corrigendum to ...', a separate 2021 notice",Same four authors; corrigendum quotes the title verbatim.,A correction is a distinct record.
0.918,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.21203/rs.3.rs-4741218/v1 Research Square posted-content and 10.1038/s44172-024-00330-0 Comms Eng article share the same five authors, Springer Nature pipeline",RC-3184,Post-processing methods for delay embedding and feature scaling of reservoir computers,2025,Communications Engineering,10.1038/s44172-024-00330-0,openalex,RC-4362,Total recall: Post-processing methods for delay-embedding and feature scaling ofreservoir computer,2024,Research Square,10.21203/rs.3.rs-4741218/v1,openalex,same,high,1,"10.21203/rs.3.rs-4741218/v1 Research Square posted-content and 10.1038/s44172-024-00330-0 Comms Eng article share the same five authors, Springer Nature pipeline",Identical five authors; preprint five months before the journal version.,Preprint carries an extra leading phrase; no explicit relation.
0.916,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1002/aisy.202200196 by Sun et al. (9 authors, 2022); 10.1063/5.0160599 by Chen et al. (6 authors, 2023). ZERO author overlap",RC-0517,In‐Sensor Reservoir Computing Based on Optoelectronic Synapse,2022,Advanced Intelligent Systems,10.1002/aisy.202200196,openalex,RC-0648,In-sensor reservoir computing based on optoelectronic synaptic devices,2023,Applied Physics Letters,10.1063/5.0160599,openalex,different,high,1,"10.1002/aisy.202200196 by Sun et al. (9 authors, 2022); 10.1063/5.0160599 by Chen et al. (6 authors, 2023). ZERO author overlap",Nearly the same phrase; both in-sensor RC on optoelectronic synapses.,"Disjoint author lists, different journals and years."
0.9133,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1002/advs.202270036 is a Wiley cover-picture item, references-count 0, no abstract, issue 6/2022; 10.1002/advs.202104076 is the article with 32 references",RC-0469,Physical Implementation of Reservoir Computing through Electrochemical Reaction,2021,Advanced Science,10.1002/advs.202104076,openalex,RC-2094,Physical Implementation of Reservoir Computing through Electrochemical Reaction (Adv. Sci. 6/2022),2022,Advanced Science,10.1002/advs.202270036,openalex,different,high,1,"Crossref 10.1002/advs.202270036 is a Wiley cover-picture item, references-count 0, no abstract, issue 6/2022; 10.1002/advs.202104076 is the article with 32 references",Same four authors and base title.,Separately-DOI'd cover item with zero references. HOUSE POLICY NEEDED.
0.913,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.1364/ome.451016 and arXiv:2112.11830 share the identical four authors; same title minus the '[Invited]' tag,RC-0526,Role of delay-times in delay-based photonic reservoir computing [Invited],2022,Optical Materials Express,10.1364/ome.451016,openalex,RC-5738,The role of delay-times in delay-based Photonic Reservoir Computing,2021,arXiv (Cornell University),10.48550/arxiv.2112.11830,arxiv|openalex,same,high,1,10.1364/ome.451016 and arXiv:2112.11830 share the identical four authors; same title minus the '[Invited]' tag,Identical authors; arXiv three months ahead of OME.,Journal title adds '[Invited]'; no journal-ref.
0.9128,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.2139/ssrn.4167500 and 10.1364/ao.475139 carry the identical seven-author list, same 2022",RC-2370,Misestimate of the performance in VCSEL-based reservoir computing systems with optical information injection by high surface reflectivity,2022,Applied Optics,10.1364/ao.475139,openalex,RC-2619,Misestimation of the Performance in Vcsel-Based Reservoir Computing Experimental Systems with Optical Information Injection Resulted by High Surface Reflectivity,2022,SSRN Electronic Journal,10.2139/ssrn.4167500,openalex,same,high,1,"10.2139/ssrn.4167500 and 10.1364/ao.475139 carry the identical seven-author list, same 2022",Identical seven authors; SSRN preprint of the same VCSEL study.,SSRN title adds 'Experimental' and 'Resulted by'.
0.9114,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.36227/techrxiv.171036623.34011701/v1 is TechRxiv posted-content by Schofmann, Fasli, Barros; 10.1109/access.2024.3385339 has the identical three authors",RC-1740,Investigating Biologically Plausible Neural Networks for Reservoir Computing Solutions,2024,IEEE Access,10.1109/access.2024.3385339,openalex,RC-2402,Biologically Plausible Neural Networks for Reservoir Computing Solutions,2024,,10.36227/techrxiv.171036623.34011701/v1,openalex,same,high,1,"10.36227/techrxiv.171036623.34011701/v1 is TechRxiv posted-content by Schofmann, Fasli, Barros; 10.1109/access.2024.3385339 has the identical three authors",Same three authors and year; one-word title expansion.,No explicit Crossref preprint relation.
0.9112,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref: 10.21203/rs.3.rs-3454804/v1 declares is-preprint-of 10.1038/s41467-024-49190-4; both Kong, Brewer, Lai",RC-0733,Reservoir-computing based associative memory and itinerancy for complex dynamical attractors,2024,Nature Communications,10.1038/s41467-024-49190-4,openalex,RC-3423,Reservoir-computing based associative memory for complex dynamical attractors,2023,Research Square,10.21203/rs.3.rs-3454804/v1,openalex,same,high,1,"Crossref: 10.21203/rs.3.rs-3454804/v1 declares is-preprint-of 10.1038/s41467-024-49190-4; both Kong, Brewer, Lai",Crossref asserts the preprint relation directly.,Different years; added phrase 'and itinerancy'.
0.9103,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.5194/gmd-2020-211-supplement is type posted-content with relation is-supplement-to; the article is 10.5194/gmd-14-5623-2021,RC-1434,Combining ensemble Kalman filter and reservoir computing to predict spatiotemporal chaotic systems from imperfect observations and models,2021,Geoscientific model development,10.5194/gmd-14-5623-2021,arxiv|openalex,RC-4084,"Supplementary material to ""Combining Ensemble Kalman Filter and Reservoir Computing to predict spatio-temporal chaotic systems from imperfect observations and models""",2020,,10.5194/gmd-2020-211-supplement,openalex,different,high,1,10.5194/gmd-2020-211-supplement is type posted-content with relation is-supplement-to; the article is 10.5194/gmd-14-5623-2021,Same two authors; supplement quotes the title in full.,"Crossref types it as supplementary material, treated like a data deposit."
0.9079,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","DataCite 10.5281/zenodo.6502264 is resourceTypeGeneral 'Dataset', titled 'Data and Code:', relation IsSupplementTo",RC-4759,Decreased spinal inhibition leads to undiversified locomotor patterns,2025,Biological Cybernetics,10.1007/s00422-025-01011-7,openalex,RC-5337,Data and Code: Decreased spinal inhibition leads to undiversified locomotor patterns,2024,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.6502264,openalex,different,high,1,"DataCite 10.5281/zenodo.6502264 is resourceTypeGeneral 'Dataset', titled 'Data and Code:', relation IsSupplementTo","Same four authors, same study.",A Zenodo dataset/code deposit is a distinct record.
0.9068,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1109/tcds.2021.3062177 'Deep ESN With Multiple Adaptive Reservoirs' by Wang, Yao, Huang, Liu; 10.1117/12.2626677 'Double echo state network with multiple reservoirs' by Zhang, Lun, Liu, Sun - no author overlap",RC-0540,Deep Echo State Network With Multiple Adaptive Reservoirs for Time Series Prediction,2021,IEEE Transactions on Cognitive and Developmental Systems,10.1109/tcds.2021.3062177,openalex,RC-2143,Double echo state network with multiple reservoirs for time-series prediction,2021,,10.1117/12.2626677,openalex,different,high,1,"10.1109/tcds.2021.3062177 'Deep ESN With Multiple Adaptive Reservoirs' by Wang, Yao, Huang, Liu; 10.1117/12.2626677 'Double echo state network with multiple reservoirs' by Zhang, Lun, Liu, Sun - no author overlap",Both multi-reservoir ESN papers from 2021.,"Disjoint author teams, different venues, different architectures."
0.9065,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Crossref 10.1142/s0218213023500306 and arXiv 2108.11417 share three authors; journal abstract describes the same unsupervised RC ODE solver,RC-2363,Reservoir Computing for Solving Ordinary Differential Equations,2023,International Journal of Artificial Intelligence Tools,10.1142/s0218213023500306,openalex,RC-5725,Unsupervised Reservoir Computing for Solving Ordinary Differential Equations,2021,arXiv (Cornell University),10.48550/arxiv.2108.11417,arxiv|openalex,same,high,1,Crossref 10.1142/s0218213023500306 and arXiv 2108.11417 share three authors; journal abstract describes the same unsupervised RC ODE solver,Identical authors and matching abstract content.,Journal title drops 'Unsupervised'; years differ by two.
0.9043,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.1109/jlt.2024.3488592 by Dai and Chembo; 10.1109/lpt.2024.3477352 by Klimko and Chembo. DIFFERENT FIRST AUTHORS,RC-1721,Photonic Reservoir Computing Using Optoelectronic Oscillators With Direct Laser Modulation,2024,Journal of Lightwave Technology,10.1109/jlt.2024.3488592,openalex,RC-1812,Demonstration of Reservoir Computing Using Optoelectronic Oscillators With Direct Laser Modulation,2024,IEEE Photonics Technology Letters,10.1109/lpt.2024.3477352,openalex,different,high,1,10.1109/jlt.2024.3488592 by Dai and Chembo; 10.1109/lpt.2024.3477352 by Klimko and Chembo. DIFFERENT FIRST AUTHORS,"Shared senior author, near-identical titles, same topic.",Different first authors; a 9-page JLT paper and a 4-page PTL letter in separate venues.
0.9032,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1002/adma.202506729 is the research article; 10.1002/adma.70826 carries '(Adv. Mater. 41/2025)' - the Wiley cover item, same nine authors",RC-1705,Detachable and Reusable: Reinforced π‐Ion Film for Modular Synaptic Reservoir Computing,2025,Advanced Materials,10.1002/adma.202506729,openalex,RC-3947,Detachable and Reusable: Reinforced π‐Ion Film for Modular Synaptic Reservoir Computing (Adv. Mater. 41/2025),2025,Advanced Materials,10.1002/adma.70826,openalex,different,high,1,"10.1002/adma.202506729 is the research article; 10.1002/adma.70826 carries '(Adv. Mater. 41/2025)' - the Wiley cover item, same nine authors","Identical authors, journal, volume and issue.",The suffixed DOI is the cover-picture front-matter record. HOUSE POLICY NEEDED.
0.9028,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Crossref 10.1007/s11071-025-11826-5 has update-to=('correction','10.1007/s11071-025-11759-z')",RC-2278,Exploiting Bistability and Viscoelasticity in Reservoir Computing,2025,Nonlinear Dynamics,10.1007/s11071-025-11759-z,openalex,RC-3210,Correction to: Exploiting Bistability and Viscoelasticity in Reservoir Computing,2025,Nonlinear Dynamics,10.1007/s11071-025-11826-5,openalex,different,high,1,"Crossref 10.1007/s11071-025-11826-5 has update-to=('correction','10.1007/s11071-025-11759-z')","Same authors, journal, year and base title.",Crossref types it explicitly as a correction to record a.
0.902,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Author lists largely disjoint between ICLO 2020 and ICLO 2024 records,RC-3310,Reservoir computing based on laser subject to optoelectronic feedback,2020,,10.1109/iclo48556.2020.9285607,openalex,RC-3417,Experimental reservoir computing based on a laser subject to optoelectronic feedback,2024,,10.1109/iclo59702.2024.10624144,openalex,different,high,1,Author lists largely disjoint between ICLO 2020 and ICLO 2024 records,Overlapping authors and near-identical topic.,Two separate proceedings papers four years apart with different author sets.
0.902,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","10.1109/jas.2024.124932 'A Correntropy-Based ESN' vs 10.1016/j.ins.2025.122260 'A mirrored ESN' - different journals, different author sets",RC-0987,A Correntropy-Based Echo State Network with Application to Time Series Prediction,2025,IEEE/CAA Journal of Automatica Sinica,10.1109/jas.2024.124932,openalex,RC-1021,A mirrored echo state network with application to time series prediction,2025,Information Sciences,10.1016/j.ins.2025.122260,openalex,different,high,1,"10.1109/jas.2024.124932 'A Correntropy-Based ESN' vs 10.1016/j.ins.2025.122260 'A mirrored ESN' - different journals, different author sets","Overlapping author group, similar titles, same year.",The distinguishing adjective names a different method; author lists differ.
0.902,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",Two separate 2025 conference items by the same team: IEEE CLEO/Europe-EQEC 10.1109/cleo/europe-eqec65582.2025.11110295 and Optica CLEO 10.1364/cleo_at.2025.jps200_125,RC-3410,Optical Reservoir Computing Using Frequency Combs in Kerr Microresonators,2025,,10.1109/cleo/europe-eqec65582.2025.11110295,openalex,RC-3453,Optical reservoir computing with chaotic frequency combs in Kerr microresonators,2025,,10.1364/cleo_at.2025.jps200_125,openalex,different,high,1,Two separate 2025 conference items by the same team: IEEE CLEO/Europe-EQEC 10.1109/cleo/europe-eqec65582.2025.11110295 and Optica CLEO 10.1364/cleo_at.2025.jps200_125,Same four authors and topic; may be one study presented twice.,Two separately citable conference contributions at different conferences; titles differ by 'chaotic'.
0.9012,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05",10.1109/tnnls.2022.3172586 is a 4-page authored guest editorial; 10.1109/tnnls.2020.3003482 has ZERO authors and is a single-page call-for-papers announcement,RC-2054,Guest Editorial Special Issue on New Frontiers in Extremely Efficient Reservoir Computing,2022,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2022.3172586,openalex,RC-3415,Special Issue on New Frontiers in Extremely Efficient Reservoir Computing,2020,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2020.3003482,openalex,different,high,1,10.1109/tnnls.2022.3172586 is a 4-page authored guest editorial; 10.1109/tnnls.2020.3003482 has ZERO authors and is a single-page call-for-papers announcement,Same journal and special-issue name.,"Unauthored announcement vs authored editorial, two years apart."
